"couponid","title","type","couponcode","user_id","is_couponcode_required","startdate","enddate","amounttype","amount","body","status","created_at","updated_at"
"93","REFUND","1","ASTHA302","293","1","2020-06-24","2020-12-24","f","2","Wholly Guacamole Classic Guacamole Minis","0","2020-06-24 20:05:11","2020-07-16 14:39:26"
"94","REFUND","1","RAJA309","111","1","2020-06-25","2020-12-25","f","8","Swad Phool Makhana Packet","1","2020-06-25 19:27:15","2020-06-25 19:27:15"
"95","REFUND","1","SACHIN311","298","1","2020-06-25","2020-12-25","f","3","Maggi Maggi Hong Kong","1","2020-06-25 19:28:15","2020-06-25 19:28:15"
"96","REFUND","1","JACK313","145","1","2020-06-26","2020-12-26","f","3","Market Basket Seedless Strawberry Jam","0","2020-06-26 20:44:11","2020-07-17 20:22:24"
"97","REFUND","1","OSHIN314","194","1","2020-06-26","2020-12-26","f","3","Vadilal Kalachana Red Bengal Gram","1","2020-06-26 20:45:06","2020-06-26 20:45:06"
"98","PROMOTION","1","GP01","0","1","2020-06-26","2020-08-01","f","5","Printed Flyers","1","2020-06-26 21:10:26","2020-06-26 21:10:26"
"99","PROMOTION","1","GP02","0","1","2020-06-26","2020-08-01","f","5","Printed","0","2020-06-26 21:11:18","2020-06-29 12:18:00"
"100","PROMOTION","1","GP03","0","1","2020-06-26","2020-08-01","f","5",NULL,"0","2020-06-26 21:12:01","2020-06-28 19:40:40"
"101","PROMOTION","1","GP04","0","1","2020-06-26","2020-08-01","f","5",NULL,"0","2020-06-26 21:12:50","2020-06-27 19:20:36"
"102","PROMOTION","1","GP05","0","1","2020-06-26","2020-08-01","f","5",NULL,"1","2020-06-26 21:13:27","2020-06-26 21:13:27"
"103","EMPLOYEE DISCOUNT","1","GPFRIENDS","0","1","2020-06-26","2020-12-31","p","10","10 % EMPLOYEE DISCOUNT","1","2020-06-26 21:15:09","2020-06-26 21:15:09"
"104","REFUND","1","ROHIT318","92","1","2020-06-27","2020-12-27","f","3","Serrano Peppers (Hot)","1","2020-06-27 19:09:41","2020-06-27 19:09:41"
"105","REFUND","1","PRAJ328","140","1","2020-06-28","2020-12-28","f","2","Thai Egg Plant	[1]	1.99","0","2020-06-28 19:55:58","2020-07-07 20:12:43"
"107","REFUND","1","AKSHAYNEELI176","112","1","2020-06-28","2020-12-31","f","40","Refund for unfulfilled and improperly fulfilled items","0","2020-06-29 20:14:03","2020-06-29 20:32:11"
"108","REFUND","1","ANKIT332","311","1","2020-06-29","2020-12-29","f","4","Swad South Indian Mysore Murmura	1	2.74
Britannia Good Day Chocolate Chunkies	1	1.64","0","2020-06-29 20:30:57","2020-07-11 02:00:46"
"109","REFUND","1","NAINI333","76","1","2020-06-29","2020-12-29","f","7","Order 333:
Udupi Mysore Murmura	1	2.74

Order 550:
Curry Leaves    1    3.99

Total: $7","1","2020-06-29 20:32:49","2020-07-25 16:09:54"
"110","REFUND","1","SHAUN336","109","1","2020-06-29","2020-12-29","f","9","Kumato Tomatoes	1	3.99
Near East Toasted Almond Rice Pilaf	1	1.89
Golden Beets 	1	3.49","0","2020-06-29 20:33:50","2020-07-13 20:59:29"
"111","REFUND","1","AKHILA337","314","1","2020-06-29","2020-12-29","f","2","Bombay Magic Frankie Masala Kathi Roll Masala	1	1.64","1","2020-06-29 20:34:58","2020-06-29 20:36:11"
"113","REFUND","1","SWETHA346","238","1","2020-06-30","2020-12-30","f","3","MTR Bisibile Bhath	1	2.52","1","2020-06-30 21:28:23","2020-06-30 21:28:23"
"114","REFUND","1","SARA349","319","1","2020-07-01","2020-12-31","f","4","Vadilal Badam Milk Drink Butterscotch	1	1.97
Maggi Maggi Bangkok	1	0.99
Maggi Maggi Singaporean	1	0.99","0","2020-07-01 21:32:31","2020-07-16 02:03:45"
"115","REFUND","1","ANU359","329","1","2020-07-02","2020-12-31","f","9","Aachi Bajji Bonda Flour Mix	[1]	1.64
Swad Green Cardamom 	[1]	4.39
Banana Flowers	[1]	2.99","1","2020-07-02 20:03:04","2020-07-02 20:03:04"
"116","REFUND","1","DEEPA370","121","1","2020-07-03","2020-12-31","f","3","Garlic (1 bag contains 5 Garlic bulbs) (1 bag) 
Brand: MB
Laxmi Dabeli Masala (3.5 oz) 
Brand: Laxmi","0","2020-07-03 19:04:44","2020-07-20 14:32:43"
"117","REFUND","1","SURJIT371","316","1","2020-07-03","2020-12-31","f","3","Swad Sabudana 2lbs","1","2020-07-03 20:22:19","2020-07-03 20:22:19"
"118","REFUND","1","KRISHNA374","70","1","2020-07-03","2020-12-31","f","7","HALDIRAM 30 PIECE PHULKA ROTI","0","2020-07-03 20:25:34","2020-07-11 22:44:35"
"119","REFUND","1","NIDHI375","333","1","2020-07-04","2020-12-31","f","9","Swad Chaat Wala Pani Puri Kit	1	4.39
Lays Lays Indian Magic Masala	1	1.49","1","2020-07-04 18:29:32","2020-07-04 19:47:05"
"120","REFUND","1","SUKRUTHA377","325","1","2020-07-04","2020-12-31","f","3","Market Basket Heavy Cream	1	3.09","1","2020-07-04 18:30:40","2020-07-04 18:30:40"
"121","REFUND","1","ANMOL378","99","1","2020-07-04","2020-12-31","f","4","Hood Heavy Cream	1	3.59","0","2020-07-04 18:32:13","2020-07-04 20:03:40"
"122","REFUND","1","RAVEENA385","248","1","2020-07-05","2020-12-31","f","8","Swad Sabudana","1","2020-07-05 22:09:10","2020-07-05 22:09:10"
"123","REFUND","1","ALISHA387","349","1","2020-07-05","2020-12-31","f","2","Ataulfo Mangoes","1","2020-07-05 22:10:35","2020-07-05 22:10:35"
"124","REFUND","1","OMKAR388","181","1","2020-07-05","2020-12-31","f","5","Brownberry/Arnold/Oroweat Whole Grains Double Protein Bread","0","2020-07-05 22:11:31","2020-07-13 13:05:44"
"125","REFUND","1","RANJINI389","351","1","2020-07-05","2020-12-31","f","7","Cadbury  Bourn Vita","1","2020-07-05 22:12:28","2020-07-05 22:12:28"
"126","REFUND","1","SUNIL390","352","1","2020-07-05","2020-12-31","f","5","Gardein The Ultimate Beefless Ground","1","2020-07-05 22:13:25","2020-07-05 22:13:25"
"127","REFUND","1","NIKITA402","177","1","2020-07-06","2020-12-31","f","7","Swad Mini Bhakharvadi
Magnum Ice Cream Bars White","0","2020-07-06 22:10:38","2020-07-19 22:23:37"
"128","REFUND","1","AKANKSHA405","358","1","2020-07-06","2020-12-31","f","5","Mirch Masala Pani - Puri Chutney","1","2020-07-06 22:11:30","2020-07-06 22:11:30"
"129","REFUND","1","NAM355","324","1","2020-07-07","2020-12-31","f","7","Vadilal Badam Milk Drink Butterscotch	2	1.97    	3.94
Udupi Roasted Upma Rava	1	2.74      	2.74","1","2020-07-07 15:55:18","2020-07-07 15:55:18"
"130","REFUND","1","SHREYA410","359","1","2020-07-07","2020-12-31","f","4","Organic Broccoli Florets	1	4.49	4.49","0","2020-07-08 09:33:00","2020-07-23 20:02:29"
"131","REFUND","1","KAVYA413","0","1","2020-07-08","2020-12-31","f","4","Anand 9 Pieces Idiyappam White	1	3.84","1","2020-07-08 09:33:42","2020-07-08 09:33:42"
"132","REFUND","1","SHAR425","360","1","2020-07-08","2020-12-31","f","5","Vadilal 20 Piece Lilva Kachori	1	4.94","0","2020-07-08 20:51:48","2020-07-25 02:41:57"
"133","REFUND","1","RAJA426","0","1","2020-07-08","2020-12-31","f","6","Japnese Eggplant 	2	2.99	    5.98","1","2020-07-08 20:52:32","2020-07-08 20:52:32"
"134","REFUND","1","NIVE436","366","1","2020-07-09","2020-12-31","f","1","Lays Lays Indian Magic Masala	1	1.49","1","2020-07-09 21:19:42","2020-07-10 10:37:42"
"135","REFUND","1","MEDHA442","369","1","2020-07-10","2020-12-31","f","7","Parliament Parliament Sanjeevani Organic Brown Basmati Rice	1	6.04","0","2020-07-10 22:11:10","2020-07-22 22:20:07"
"136","REFUND","1","NIKITA444","177","1","2020-07-10","2020-12-31","f","8","Laxmi Ginger Garlic Paste	1	7.99","1","2020-07-10 22:12:27","2020-07-10 22:12:27"
"137","REFUND","1","TEJAS438","336","1","2020-07-11","2020-12-31","f","4","Swad bana chips 2LB packet replced with Swad banana chips 10oz packet","1","2020-07-11 20:17:01","2020-07-11 20:17:01"
"138","REFUND","1","ANKEETA446","120","1","2020-07-11","2020-12-31","f","3","Red Onions	1 LB	1.49	1.49
Britannia Little Hearts	1	0.87	0.87","1","2020-07-11 20:19:36","2020-07-11 20:20:45"
"139","REFUND","1","JANANI472","221","1","2020-07-13","2020-12-31","f","3","Market Basket Chicken Thighs Skin On	1	3.38","1","2020-07-13 22:18:04","2020-07-13 22:18:04"
"140","REFUND","1","DHAIRYA478","382","1","2020-07-13","2020-12-31","f","5","Swad Bombay Mix	1	2.74
Talod Farali Dhokla Mix Flour	1	2.19","1","2020-07-13 22:18:51","2020-07-13 22:18:51"
"141","REFUND","1","OMKAR487","181","1","2020-07-13","2020-12-31","f","8","Anand Boondi Masala
Brownberry/Arnold/Oroweat Whole Grains Double Protein Bread","0","2020-07-13 22:20:07","2020-07-23 12:58:16"
"142","REFUND","1","KRISHNA457","70","1","2020-07-13","2020-12-31","f","3","Yellow Onion Bag","0","2020-07-13 22:21:10","2020-07-26 13:12:51"
"143","REFUND","1","BHARGAVI491","387","1","2020-07-14","2020-12-31","f","2","Chayote	2	1.98","1","2020-07-14 21:42:29","2020-07-14 21:42:29"
"144","REFUND","1","ROHIT497","92","1","2020-07-14","2020-12-31","f","2","Market Basket Leaf Spinach	2	1.98","1","2020-07-14 21:43:41","2020-07-14 21:43:41"
"145","REFUND","1","SHAR499","228","1","2020-07-14","2020-12-31","f","5","Organic Wrapped Green Peppers	2 4.98","1","2020-07-14 21:44:59","2020-07-14 21:44:59"
"146","REFUND","1","VINAY505","136","1","2020-07-15","2020-12-31","f","2","Lipton Green Tea Bags Purple Acai Blueberry	1	1.89","1","2020-07-16 21:28:27","2020-07-16 21:28:27"
"147","REFUND","1","MANJU503","391","1","2020-07-17","2020-12-31","f","6","Sujata Sujata Chakki Atta	1	9.99	-9.99
Sujata Sujata Chakki Atta	1	15.99	15.99","1","2020-07-17 09:11:34","2020-07-17 09:11:34"
"148","REFUND","1","KUSHAL513","396","1","2020-07-16","2020-12-31","f","3","Deep 2 Pack Cheese And Stuffed Naan	1	2.74","1","2020-07-17 13:38:57","2020-07-17 13:38:57"
"149","REFUND","1","OSH426","194","1","2020-07-16","2020-12-31","f","9","Everest Jaljira Masala
Tide PODS Liquid Laundry Detergent Pacs, Spring Meadow","1","2020-07-17 13:39:39","2020-07-17 13:39:39"
"150","REFUND","1","ASTHA530","293","1","2020-07-16","2020-12-31","f","3","Okra	1	2.99","1","2020-07-17 13:40:15","2020-07-17 13:40:15"
"151","REFUND","1","AMRUTA537","338","1","2020-07-17","2020-12-31","f","8","Swad Samosa Chutney
Anand Garlic Mixture
Satyavijay Garlic Paste","1","2020-07-18 18:31:01","2020-07-18 18:31:01"
"152","REFUND","1","JERICA539","402","1","2020-07-17","2020-12-31","f","3","Udupi Ragi Flour","1","2020-07-18 18:31:32","2020-07-18 18:31:32"
